gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,MonthlyCharges,Churn
Female,0,No,1,No,No phone service,No,29.85,No
Male,0,No,34,Yes,No,Yes,56.95,No
Male,0,No,2,Yes,No,Yes,53.85,Yes
Male,0,No,45,No,No phone service,Yes,42.3,No
Female,0,No,2,Yes,No,No,70.7,Yes
Female,0,No,8,Yes,Yes,No,99.65,Yes
Male,0,Yes,22,Yes,Yes,No,89.1,No
Female,0,No,10,No,No phone service,Yes,29.75,No
Female,0,No,28,Yes,Yes,No,104.8,Yes
Male,0,Yes,62,Yes,No,Yes,56.15,No
Male,0,Yes,13,Yes,No,Yes,49.95,No
Male,0,No,16,Yes,No,No internet service,18.95,No
Male,0,No,58,Yes,Yes,No,100.35,No
Male,0,No,49,Yes,Yes,No,103.7,Yes
Male,0,No,25,Yes,No,Yes,105.5,No
Female,0,Yes,69,Yes,Yes,Yes,113.25,No
Female,0,No,52,Yes,No,No internet service,20.65,No
Male,0,Yes,71,Yes,Yes,Yes,106.7,No
Female,0,Yes,10,Yes,No,No,55.2,Yes
Female,0,No,21,Yes,No,No,90.05,No
Male,1,No,1,No,No phone service,No,39.65,Yes
Male,0,No,12,Yes,No,No internet service,19.8,No
Male,0,No,1,Yes,No,No internet service,20.15,Yes
Female,0,No,58,Yes,Yes,No,59.9,No
Male,0,Yes,49,Yes,No,Yes,59.6,No
Female,0,No,30,Yes,No,Yes,55.3,No
Male,0,Yes,47,Yes,Yes,No,99.35,Yes
Male,0,Yes,1,No,No phone service,No,30.2,Yes
Male,0,No,72,Yes,Yes,Yes,90.25,No
Female,0,Yes,17,Yes,No,No,64.7,Yes
Female,1,No,71,Yes,Yes,Yes,96.35,No
Male,1,No,2,Yes,No,No,95.5,No
Female,0,Yes,27,Yes,No,Yes,66.15,No
Male,0,No,1,Yes,No,No internet service,20.2,No
Male,1,No,1,Yes,No,No,45.25,No
Female,0,Yes,72,Yes,Yes,Yes,99.9,No
Male,0,No,5,Yes,No,No,69.7,Yes
Female,0,No,46,Yes,No,No,74.8,No
Male,0,No,34,Yes,Yes,No,106.35,Yes
Female,0,No,11,Yes,Yes,No,97.85,Yes
Male,0,Yes,10,Yes,No,No,49.55,No
Female,0,Yes,70,Yes,Yes,Yes,69.2,No
Female,0,Yes,17,Yes,No,No internet service,20.75,No
Female,0,No,63,Yes,Yes,Yes,79.85,No
Female,0,No,13,Yes,Yes,Yes,76.2,No
Female,0,No,49,Yes,Yes,No,84.5,No
Male,0,No,2,Yes,No,No,49.25,No
Female,0,No,2,Yes,No,No,80.65,Yes
Male,0,No,52,Yes,Yes,Yes,79.75,No
Female,0,Yes,69,Yes,Yes,Yes,64.15,No
Female,1,No,43,Yes,Yes,No,90.25,No
Female,0,No,15,Yes,No,Yes,99.1,Yes
Female,1,No,25,Yes,Yes,Yes,69.5,No
Female,1,No,8,Yes,Yes,No,80.65,Yes
Female,1,Yes,60,Yes,No,Yes,74.85,No
Male,1,No,18,Yes,Yes,No,95.45,Yes
Female,0,Yes,63,Yes,Yes,Yes,99.65,No
Male,1,Yes,66,Yes,Yes,No,108.45,No
Female,0,Yes,34,Yes,Yes,No internet service,24.95,No
Female,0,No,72,Yes,Yes,No,107.5,No
Female,0,No,47,Yes,Yes,No,100.5,No
Male,0,No,60,Yes,Yes,No,89.9,No
Male,0,No,72,No,No phone service,Yes,42.1,No
Female,0,Yes,18,Yes,No,No,54.4,No
Female,0,No,9,Yes,Yes,No,94.4,Yes
Female,0,No,3,Yes,No,No,75.3,No
Male,0,No,47,Yes,Yes,No,78.9,No
Female,0,No,31,Yes,No,No,79.2,No
Female,0,Yes,50,Yes,No,No internet service,20.15,No
Male,0,No,10,Yes,No,Yes,79.85,No
Male,0,No,1,Yes,No,No,49.05,No
Female,0,Yes,52,Yes,No,No internet service,20.4,No
Male,1,Yes,64,Yes,Yes,Yes,111.6,No
Male,0,Yes,62,Yes,Yes,No internet service,24.25,No
Female,0,Yes,3,Yes,No,Yes,64.5,No
Female,1,No,56,Yes,Yes,Yes,110.5,No
Female,0,No,46,Yes,No,No,55.65,No
Female,0,Yes,8,Yes,No,Yes,54.65,No
Male,1,No,30,Yes,No,Yes,74.75,No
Female,0,Yes,45,Yes,Yes,No internet service,25.9,No
Female,0,Yes,1,Yes,No,No,79.35,Yes
Female,0,Yes,11,No,No phone service,Yes,50.55,No
Female,0,No,7,Yes,No,No,75.15,Yes
Female,0,No,42,Yes,No,No,103.8,No
Female,0,No,49,Yes,No,No internet service,20.15,No
Male,0,No,9,Yes,Yes,No,99.3,No
Female,0,No,35,Yes,No,Yes,62.15,No
Female,0,Yes,48,Yes,No,No internet service,20.65,No
Female,0,Yes,46,Yes,No,No internet service,19.95,No
Male,0,No,29,No,No phone service,No,33.75,No
Male,0,Yes,30,Yes,No,No,82.05,No
Male,1,No,1,Yes,No,No,74.7,No
Male,0,Yes,66,Yes,Yes,Yes,84,No
Female,0,No,65,Yes,Yes,Yes,111.05,No
Male,0,No,72,Yes,Yes,No,100.9,No
Female,0,No,12,Yes,Yes,Yes,78.95,Yes
Male,0,Yes,71,Yes,Yes,Yes,66.85,No
Male,0,No,5,Yes,No,No internet service,21.05,Yes
Male,0,No,52,Yes,No,No internet service,21,No
Female,1,No,25,Yes,No,No,98.5,Yes
Male,0,No,1,Yes,No,No internet service,20.2,No
Female,0,Yes,1,Yes,No,No internet service,19.45,No
Male,0,No,38,Yes,Yes,No,95,No
Female,1,No,66,No,No phone service,No,45.55,No
Male,0,No,68,Yes,Yes,No,110,Yes
Male,0,No,5,No,No phone service,No,24.3,No
Female,0,Yes,72,Yes,Yes,Yes,104.15,No
Female,0,No,32,No,No phone service,Yes,30.15,No
Male,0,No,43,Yes,Yes,No,94.35,No
