order_date,메뉴,매출액
2020.01.27,케이크,6500
2025.05.13,베이글,3200
2020.09.11,쿠키,2200
2017.01.26,머핀,3500
2022.01.23,콜드브루,4500
2020.01.04,홍차,3500
2016.01.07,케이크,6500
2024.12.25,아메리카노,3500
2019.06.11,베이글,3500
2023.04.15,콜드브루,5000
2015.03.03,머핀,3000
2015.09.01,아메리카노,3200
2024.11.11,티,3500
2015.05.04,베이글,3200
2019.12.10,쿠키,3000
2017.03.11,머핀,3200
2022.03.07,홍차,3800
2015.01.19,라떼,4500
2022.05.06,녹차,3800
2021.03.07,라떼,4800
2017.11.06,레몬에이드,5300
2017.07.29,머핀,3500
2015.05.02,라떼,4500
2023.08.05,에스프레소,3000
2016.03.17,홍차,3800
2015.10.01,커피,4500
2022.09.06,커피,3700
2017.05.09,아메리카노,3500
2019.03.18,자몽주스,5200
2015.10.27,쿠키,2800
2017.03.24,녹차,3800
2015.12.23,홍차,3800
2015.03.04,샌드위치,6000
2025.05.07,에스프레소,2700
2017.10.06,에스프레소,2500
2015.09.03,베이글,3700
2020.06.17,콜드브루,5300
2021.04.09,바닐라라떼,5000
2020.09.15,바닐라라떼,5300
2023.08.18,카푸치노,4500
2022.03.21,자몽주스,4700
2019.06.06,샌드위치,5200
2015.01.02,녹차,4300
2025.11.20,쿠키,2500
2024.12.03,커피,3700
2017.02.06,자몽주스,5700
2021.10.01,쿠키,2000
2015.06.22,카푸치노,4200
2019.12.14,녹차,3300
2023.08.31,레몬에이드,5300
2018.04.28,자몽주스,4700
2015.11.01,라떼,4200
2021.07.14,티,3000
2021.09.28,오렌지주스,5200
2021.12.23,베이글,2900
2025.10.03,쿠키,2500
2024.05.02,쿠키,2200
2024.09.19,자몽주스,4900
2022.01.13,카푸치노,4500
2025.03.09,티,4000
2021.11.05,티,3800
2017.02.16,콜드브루,5300
2022.01.20,케이크,5700
2022.09.14,자몽주스,5200
2021.10.08,라떼,4500
2015.07.14,에스프레소,2500
2015.06.08,머핀,3500
2017.09.03,자몽주스,5200
2019.09.20,스콘,3200
2020.10.31,콜드브루,5300
2025.12.16,라떼,4200
2017.07.24,스콘,3200
2022.04.30,라떼,4500
2017.05.19,바닐라라떼,5300
2015.03.09,라떼,4500
2019.08.13,베이글,2900
2015.09.05,아메리카노,3200
2018.02.28,오렌지주스,5200
2021.06.01,카푸치노,4000
2019.01.23,카푸치노,4500
2025.12.30,레몬에이드,5100
2023.03.21,머핀,3500
2025.08.14,카푸치노,4500
2015.05.24,커피,4000
2025.03.17,오렌지주스,5500
2018.07.01,아메리카노,3000
2021.09.16,라떼,4500
2015.10.03,홍차,3800
2016.07.13,라떼,4000
2020.01.30,케이크,6000
2023.04.07,아메리카노,3800
2023.04.08,카푸치노,5000
2025.10.21,레몬에이드,4800
2015.12.14,스콘,2700
2024.10.08,샌드위치,6000
2015.05.04,스콘,3200
2015.03.01,자몽주스,5200
2021.07.14,커피,4000
2015.10.23,라떼,4000
2022.03.04,에스프레소,3000
2024.11.12,샌드위치,5800
2018.09.14,자몽주스,5500
2022.10.14,쿠키,2500
2019.12.10,베이글,3700
2021.01.25,라떼,4500
2023.05.31,머핀,3000
2018.06.24,라떼,4500
2015.04.02,티,3800
2016.04.07,스콘,3700
2021.11.22,스콘,3200
2025.01.19,커피,4000
2018.05.18,카푸치노,4800
2021.11.10,바닐라라떼,5000
2016.11.25,레몬에이드,5100
2025.06.07,베이글,3200
2024.12.31,티,3500
2019.07.16,녹차,3500
2022.02.10,샌드위치,6000
2024.01.15,바닐라라떼,4700
2019.04.24,티,3500
2025.04.29,레몬에이드,4500
2016.07.11,카푸치노,4500
2018.12.07,아메리카노,3800
2015.09.20,녹차,4300
2016.11.23,에스프레소,3000
2020.04.14,녹차,3500
2024.04.26,샌드위치,5500
2022.01.07,머핀,3500
2022.07.16,레몬에이드,5100
2024.05.30,베이글,3200
2015.11.02,아메리카노,3500
2024.10.15,아메리카노,3800
2022.12.12,녹차,3800
2018.12.21,홍차,4100
2023.11.17,쿠키,2000
2022.03.10,카푸치노,4500
2020.02.06,바닐라라떼,4500
2023.08.17,녹차,3500
2023.09.27,카푸치노,5000
2015.07.12,에스프레소,3000
2016.03.22,케이크,6300
2022.03.06,오렌지주스,4700
2022.09.04,바닐라라떼,4700
2024.03.28,스콘,3200
2017.01.01,커피,4500
2020.04.18,케이크,6300
2015.05.29,콜드브루,4700
2018.01.20,오렌지주스,5200
2022.10.27,머핀,3500
2021.11.21,콜드브루,5000
2024.07.08,티,3000
2019.08.09,자몽주스,4900
2020.01.20,베이글,2900
2022.01.06,커피,4000
2021.03.02,쿠키,2800
2024.11.10,머핀,4000
2024.03.10,레몬에이드,4800
2018.08.30,바닐라라떼,4500
2023.02.05,에스프레소,2700
2017.09.19,자몽주스,4700
2025.12.17,홍차,3800
2025.12.14,레몬에이드,4800
2025.03.16,커피,4000
2020.08.29,라떼,4000
2019.12.11,레몬에이드,4800
2019.09.23,녹차,3800
2025.04.25,커피,3700
2024.01.28,라떼,4500
2023.12.21,아메리카노,3200
2020.12.23,레몬에이드,5100
2023.11.02,카푸치노,4500
2016.08.31,머핀,3800
2020.10.23,베이글,3200
2021.06.29,라떼,5000
2017.06.25,베이글,3200
2021.04.07,홍차,4300
2023.03.05,케이크,6300
2016.11.04,머핀,3500
2024.06.17,케이크,6000
2018.06.30,자몽주스,5700
2024.10.03,바닐라라떼,5000
2024.07.16,카푸치노,4500
2020.11.17,녹차,3800
2020.07.31,바닐라라떼,5000
2021.01.04,에스프레소,3000
2015.01.21,자몽주스,4700
