나이,월급,월별야근횟수,이직여부
40,4811688,7,1
32,3983197,3,1
56,4561670,4,0
38,4766180,4,0
35,4607222,6,1
48,3407752,6,1
46,2852007,8,1
59,5457063,3,1
31,3280672,9,0
29,4586410,5,0
52,3796013,5,1
27,4920547,2,1
43,5048858,1,0
23,2500000,12,0
45,4101862,3,0
45,3286911,4,0
36,5740117,4,1
47,3803858,5,0
26,4367381,12,0
30,4636526,10,0
49,4737656,6,0
50,4128859,8,1
23,5113591,8,1
45,3594279,6,1
25,3154180,5,1
51,5131082,4,1
38,4177161,8,1
38,4929638,6,1
30,4761245,5,1
49,4135600,4,0
40,3777821,6,1
30,3422180,3,1
25,5834194,8,0
46,5513045,5,0
54,5202277,6,0
45,5265912,9,0
46,5451005,8,1
45,4861596,5,0
55,5423467,11,1
45,3360846,5,1
26,4060752,9,0
32,5635625,1,0
23,5337295,6,0
33,5482857,6,1
56,4925906,4,0
37,5134783,5,1
22,4044978,3,0
30,3101036,6,0
50,3553114,8,1
29,4702569,4,0
34,3725921,5,1
58,4450906,11,0
27,4725283,5,1
26,4122845,6,0
38,2956689,9,1
42,4062834,3,0
31,5774321,6,0
32,4940133,3,0
30,4769280,6,0
58,5107893,6,0
45,5128283,8,0
54,6005254,5,1
22,2595887,9,0
57,4344228,6,0
22,2946071,12,0
45,4294571,3,1
32,4939683,6,1
25,3714176,3,1
51,5346469,2,1
55,4236929,4,0
50,5094047,8,0
54,4200874,7,1
45,4687309,4,1
42,4061437,8,0
58,5261595,4,1
36,4455128,9,1
56,5988610,5,1
58,4823387,2,1
57,3652690,6,0
32,3063426,7,1
42,5372819,7,1
57,5373510,4,1
24,4751214,11,0
43,4054150,8,1
54,5172142,3,1
29,4814878,6,0
28,5537866,2,0
44,2674081,8,0
41,5213352,3,1
36,3368580,4,0
51,3265966,3,0
33,4365275,6,1
26,6173261,10,1
42,4176360,10,0
29,5299453,4,0
27,2832743,10,1
56,3771109,8,1
47,4066064,4,1
39,3555646,7,1
55,4672004,9,1
38,4625680,7,0
48,5054020,7,1
51,3463543,3,0
28,3410402,5,0
48,4058330,3,0
57,5302493,6,0
56,5408619,5,0
42,5729467,9,1
45,3439808,7,1
24,3521171,6,1
26,4847510,4,0
35,2809626,3,0
40,4351941,8,1
31,4273640,8,1
45,2500000,8,1
45,4368388,4,1
36,5202619,7,0
23,3631152,9,1
39,5283661,9,1
52,3937892,6,1
40,5300636,4,0
27,2663585,4,1
39,4615056,5,1
41,3688953,3,0
58,4305259,7,1
47,4669200,6,1
48,2500000,7,1
28,3737048,9,1
32,3385665,7,0
59,3768141,11,1
49,3741318,3,0
26,4455390,5,1
40,3681776,5,0
52,6471646,4,1
35,4284165,9,0
32,4873524,8,1
45,5225609,4,1
38,3067232,7,1
47,5772588,9,0
47,3251188,2,1
45,3900782,7,0
26,2500000,7,1
45,3240491,5,1
31,4615234,8,1
53,4254084,3,1
44,5214040,10,0
50,4426638,3,0
38,5998493,3,1
49,3296292,3,0
32,3302274,4,1
51,4918523,5,0
49,5292959,7,1
59,5206787,4,0
48,4042425,6,0
58,6185000,9,0
46,4458529,4,0
53,4277100,3,0
39,5724496,12,0
52,5357635,2,1
39,4091595,4,0
48,4200763,4,0
26,4232229,5,0
30,4054048,7,1
26,5290249,3,0
36,4092033,1,1
40,5675033,6,1
56,5285590,7,1
22,5243165,4,1
42,3707725,3,0
51,5366151,5,0
23,5807782,2,0
40,3485538,9,1
31,3095834,5,0
29,4313084,3,1
45,2586980,5,0
28,4644979,5,0
28,4512160,4,0
51,4688289,5,1
26,3854577,7,1
26,5105595,5,0
46,4774772,7,1
44,4621925,2,1
50,4886747,4,1
51,4338275,4,0
44,4748713,7,1
40,5249827,7,0
34,3650190,7,1
59,5997083,2,0
42,5730477,4,1
56,3829287,11,0
27,4806082,3,0
33,4811770,6,1
55,4456160,6,1
27,5707696,10,0
44,6258380,4,0
40,4585572,10,1
41,4568794,3,1
36,4575304,5,0
46,4289479,4,1
33,3822649,3,0
29,4982056,4,0
51,4039458,6,0
27,4074381,14,1
54,3930634,5,1
45,4790247,5,0
29,4155149,8,1
40,6144060,3,0
58,3952348,2,0
50,5450056,6,0
36,3393798,4,1
45,4966642,1,1
39,3610240,7,0
57,5833321,6,1
22,3843037,12,0
29,4790150,5,0
40,5237413,7,1
22,4163938,8,0
49,4771913,9,0
27,5764069,3,0
37,5675413,6,1
23,4341937,6,1
51,5226926,8,0
28,4106668,5,0
32,3870842,5,1
58,4993617,7,1
40,4563653,7,1
29,4265119,2,0
22,5130474,4,0
38,4931241,8,0
23,5514292,8,0
58,4615763,7,0
22,5722071,9,1
53,4762305,6,1
40,5728192,6,1
27,3532530,3,1
46,4626912,7,1
40,3595973,14,1
51,4347373,4,1
41,5507585,7,0
41,3305695,7,1
42,5961947,4,1
32,4398647,8,0
26,4652650,8,0
55,3658047,4,1
56,5683200,7,1
50,3077188,5,1
55,5323145,7,1
27,3709719,11,0
48,3698005,8,0
41,5479827,4,0
38,4939500,9,0
27,3698066,4,1
51,2500000,9,1
41,4149662,4,1
49,4586843,7,1
38,4329676,8,1
30,3276412,5,0
33,2897468,5,0
22,5051260,6,1
59,6253214,6,1
38,3877685,5,1
46,4707495,8,0
57,4005448,8,0
31,3691126,7,1
43,3899292,9,0
22,3942829,12,1
54,2718378,7,0
40,4159350,3,0
40,5232077,6,0
23,3030430,5,0
49,5524206,7,1
40,5755133,5,1
25,4817454,8,1
44,5098722,5,0
35,5163324,2,1
44,5590185,5,0
35,5398732,5,0
32,4204358,11,1
49,5291856,5,1
43,3615866,5,1
34,3680068,9,1
27,5525746,5,0
26,4825762,8,1
41,3603244,3,0
28,5659939,6,0
44,3088681,8,0
53,4063886,4,0
53,5190529,5,0
46,3317166,7,1
36,4467854,10,1
55,5721928,4,1
50,3600374,6,1
40,4974050,5,0
57,3394899,3,1
56,2746564,5,1
58,3098502,7,0
38,3822012,10,1
28,3450655,10,0
52,5001828,5,1
37,5362955,6,0
42,2819936,6,1
25,4135724,7,1
48,3646649,1,1
43,4004428,5,0
44,5303158,5,1
42,4000944,8,0
41,3744500,7,0
29,5531119,4,1
31,4374526,7,1
34,4324139,7,1
27,2500000,7,1
36,4372776,6,1
40,3984143,6,0
23,3706600,10,0
52,3915120,6,0
31,6442392,5,0
35,4984239,7,1
29,6850629,8,0
53,5309415,3,1
32,3729147,3,1
55,2818450,7,1
47,5034773,2,0
36,3776921,3,1
52,3325814,5,1
56,5146295,1,1
59,3417221,5,1
46,5993174,3,0
49,3008174,7,1
54,4940818,4,0
53,3422147,8,0
58,4614108,8,1
46,3694039,5,1
32,3706852,6,0
49,5463895,3,1
46,5698245,4,1
56,4135137,2,0
56,3774385,5,1
54,3800246,3,1
47,3250074,13,0
23,3826690,5,0
52,5178103,8,0
53,2917731,11,1
37,4361918,9,1
37,4229938,3,1
25,4703372,6,0
31,5167643,8,1
36,4674833,3,0
52,4950054,6,1
37,4048544,8,1
44,5122204,3,0
53,2572547,11,1
49,3261657,6,0
49,4434075,9,1
36,6485993,5,1
38,4360027,6,0
34,4079087,3,1
29,4293361,3,0
32,5158186,1,0
35,3683454,8,0
35,5414557,7,0
35,3989791,4,0
36,4421013,6,0
57,4490407,6,1
42,4085335,9,0
30,3298632,11,1
22,4283676,5,0
34,3852747,6,0
52,6459027,4,0
30,4624050,2,0
57,4727460,5,0
